Id,Sales
1,4366.3027
857,4496.1484
1713,5002.2686
2569,5881.883
3425,4469.625
4281,4521.294
5137,4111.067
5993,3832.3667
6849,3822.322
7705,3870.858
8561,4201.1475
9417,4331.9688
10273,4417.38
11129,4657.312
11985,4474.214
12841,5057.504
13697,5379.2915
14553,6952.669
15409,4504.8267
16265,4479.44
17121,4265.556
17977,3714.468
18833,3601.6729
19689,3578.016
20545,4033.8323
21401,4055.9705
22257,4179.6074
23113,4558.6064
23969,4411.28
24825,4522.8765
25681,4964.316
26537,6088.0244
27393,4175.739
28249,4516.674
29105,4046.8984
29961,3760.386
30817,3747.7195
31673,3723.0789
32529,4231.199
33385,4268.0386
34241,4374.8643
35097,4690.1836
35953,4608.6
36809,4602.2007
37665,4941.5723
38521,5963.5054
39377,3980.4275
40233,4561.1025
2,7636.734
858,7952.148
1714,8832.32
2570,10260.406
3426,3960.533
4282,3856.903
5138,5911.1807
5994,5592.3145
6850,5569.3696
7706,5596.6094
8562,5776.886
9418,3911.5105
10274,3954.894
11130,8224.883
11986,8319.819
12842,8826.62
13698,9541.649
14554,11333.767
15410,4105.139
16266,4171.5757
17122,6466.5303
17978,5502.17
18834,5414.77
19690,5339.3696
20546,5699.7476
21402,4033.3438
22258,3727.4841
23114,7545.36
23970,7823.898
24826,8136.4976
25682,9090.797
26538,10870.853
27394,4115.782
28250,4042.3506
29106,6140.4624
29962,5679.936
30818,5620.2285
31674,5364.778
32530,5784.5938
33386,4308.0405
34242,3986.791
35098,7875.7617
35954,8271.0625
36810,8573.3
37666,9146.627
38522,10809.898
39378,4263.783
40234,4397.427
3,9519.944
859,10072.369
1715,10820.182
2571,13099.502
3427,4189.3887
4283,6416.0054
5139,8957.013
5995,8729.987
6851,8741.033
7707,8598.412
8563,9513.064
9419,4057.6729
10275,6348.294
11131,10370.844
11987,10406.292
12843,11040.527
13699,11352.135
14555,13841.44
15411,4068.0295
16267,6949.9443
17123,9467.034
17979,8512.814
18835,8290.45
19691,8167.4473
20547,9099.419
21403,4498.2285
22259,6466.117
23115,9647.533
23971,10253.755
24827,10479.882
25683,10870.925
26539,13365.232
27395,4562.3555
28251,7000.2197
29107,9492.375
29963,9181.682
30819,8937.779
31675,8774.417
32531,9701.045
33387,4674.978
34243,6744.7183
35099,10742.205
35955,10862.127
36811,10936.384
37667,11298.444
38523,13947.858
39379,4595.1226
40235,6956.065
4,6392.6987
860,6519.013
1716,7185.839
2572,8690.381
3428,3126.0586
4284,3492.6792
5140,4953.788
5996,4873.8857
6852,4817.2456
7708,4931.121
8564,5356.215
9420,3065.762
10276,3467.7734
11132,6709.094
11988,6811.8423
12844,7359.095
13700,7968.9106
14556,9991.069
15412,2943.4316
16268,3597.0354
17124,5089.297
17980,4694.887
18836,4553.8965
19692,4571.4233
20548,5155.823
21404,3195.7778
22260,3375.839
23116,6064.451
23972,6372.2837
24828,6457.65
25684,7187.326
26540,8942.094
27396,3267.8372
28252,3655.2
29108,4952.8906
29964,4838.8955
30820,4758.1133
31676,4780.92
32532,5352.9365
33388,3361.7288
34244,3555.9897
35100,6551.1035
35956,6869.375
36812,6858.1685
37668,7258.2256
38524,8936.587
39380,3362.633
40236,3922.4258
5,7100.8076
861,7300.545
1717,8292.372
2573,9961.851
3429,4554.361
4285,5950.7627
5141,6438.857
5997,5911.8457
6853,5971.7007
7709,6034.4805
8565,6731.0825
9421,4417.9736
10277,5954.6514
11133,7795.4546
11989,7557.6675
12845,8054.6143
13701,8911.412
14557,11072.856
15413,4297.351
16269,6198.9893
17125,7153.0815
17981,6099.7056
18837,5962.334
19693,6036.927
20549,6697.051
21405,4594.816
22261,5801.4272
23117,7415.123
23973,7390.533
24829,7540.13
25685,8562.317
26541,10567.96
27397,4734.6167
28253,6312.735
29109,6844.356
29965,6230.4067
30821,6119.2007
31677,5793.4434
32533,6558.4424
33389,4805.2334
34245,6048.7407
35101,7617.2188
35957,7538.5913
36813,7605.953
37669,8303.53
38525,10352.0205
39381,4840.548
40237,6341.3477
